Small Generation Unit (SGU) - Solar Panel (Deemed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be aware that RET legislation allows a 12 month creation period for registered persons to create their certificates. The 2021 and 2020 figures will continue to rise due to the 12 month creation period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data as at 31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Unit Installation Postcode,Previous Years (2001-2019) - Installations Quantity,Previous Years (2001-2019) - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0000,4,4.460,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,4,4.46
0200,1,0.080,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,0.08
0800,95,"2,021.050",1,26.460,1,9.100,0,0.000,0,0.000,2,72.980,1,6.600,2,108.840,0,0.000,2,170.160,1,39.770,1,92.130,0,0.000,0,0.000,1.000,35.200,1.000,6.630,1.000,6.660,0,0.000,109,2595.58
0801,7,134.868,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,99.990,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,8,234.858
0803,2,11.685,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,11.685
0804,14,68.950,0,0.000,0,0.000,0,0.000,1,9.360,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,15,78.31
0810,"2,670","16,371.491",55,350.845,69,449.660,53,366.590,43,383.960,60,393.735,60,404.255,50,351.405,40,267.720,35,259.815,19,308.670,34,460.310,29,189.750,8,102.195,16.000,154.735,28.000,198.910,13.000,130.950,12,74.350,3294,21219.346
0811,2,9.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,9
0812,"1,411","8,362.798",30,190.377,46,302.640,31,204.895,42,290.905,50,320.680,35,219.435,27,182.815,29,188.670,19,131.480,15,102.585,19,111.460,15,159.785,6,120.580,10.000,62.270,10.000,67.270,7.000,42.230,9,52.140,1811,11113.015
0813,6,78.949,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,7,85.549
0814,3,13.060,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1.000,5.180,0.000,0.000,0.000,0.000,0,0.000,4,18.24
0820,810,"8,216.319",21,157.695,29,216.030,14,190.935,25,226.810,32,286.425,30,427.210,31,308.560,17,126.330,17,109.120,15,371.655,8,238.010,10,77.635,3,30.030,13.000,240.915,12.000,135.590,7.000,60.270,3,22.465,1097,11442.004
0821,7,156.303,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,7,156.303
0822,681,"7,422.354",13,94.380,18,126.595,15,155.945,13,101.690,17,156.750,20,169.775,10,88.415,5,40.840,19,191.145,23,226.190,8,111.530,16,166.775,6,53.985,4.000,41.725,4.000,18.590,5.000,50.930,3,22.560,880,9240.174
0828,165,"2,345.256",3,22.500,10,187.695,4,32.900,5,100.590,6,61.395,3,22.150,5,128.515,1,40.670,4,77.940,2,13.100,3,22.460,8,172.790,1,6.660,9.000,127.335,6.000,100.820,6.000,39.465,0,0.000,241,3502.241
0829,26,718.225,0,0.000,2,47.790,0,0.000,1,9.135,0,0.000,1,32.690,0,0.000,0,0.000,1,19.800,0,0.000,1,9.240,2,35.500,2,18.500,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,36,890.88
0830,"1,565","9,391.254",27,192.765,31,193.955,42,275.295,42,266.950,41,329.010,25,167.165,26,175.890,14,91.570,19,118.850,19,118.885,28,410.935,19,243.855,10,114.120,12.000,72.855,13.000,90.730,3.000,22.490,6,42.550,1942,12319.124
0831,9,38.980,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,9,38.98
