Postcode,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,1,26.46,1,9.1,0,0,0,0,2,72.98,1,6.6,2,108.84,0,0,2,170.16,1,39.77,1,92.13,0,0
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.99
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,1,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,55,350.845,69,449.66,53,366.59,43,383.96,60,393.735,60,404.255,50,351.405,40,267.72,35,259.815,19,308.67,34,460.31,29,189.75
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,30,190.377,46,302.64,31,204.895,42,290.905,50,320.68,35,219.435,27,182.815,29,188.67,19,131.48,15,102.585,19,111.46,15,159.785
813,0,0,0,0,1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,21,157.695,29,216.03,14,190.935,25,226.81,32,286.425,30,427.21,31,308.56,17,126.33,17,109.12,15,371.655,8,238.01,10,77.635
821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,13,94.38,18,126.595,15,155.945,13,101.69,17,156.75,20,169.775,10,88.415,5,40.84,19,191.145,23,226.19,8,111.53,16,166.775
828,3,22.5,10,187.695,4,32.9,5,100.59,6,61.395,3,22.15,5,128.515,1,40.67,4,77.94,2,13.1,3,22.46,8,172.79
829,0,0,2,47.79,0,0,1,9.135,0,0,1,32.69,0,0,0,0,1,19.8,0,0,1,9.24,2,35.5
830,27,192.765,31,193.955,42,275.295,42,266.95,41,329.01,25,167.165,26,175.89,14,91.57,19,118.85,19,118.885,28,410.935,19,243.855
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,42,273.78,40,256.43,32,215.905,38,244.475,47,303.405,32,212.57,31,213.235,24,159.79,18,119.47,16,105.48,29,207.31,14,92.52
834,0,0,1,9.3,4,35.46,5,34.575,11,96.16,7,51.385,4,31.085,2,15.23,3,30.25,4,33.95,3,57.29,4,26.93
835,9,66.565,13,158.73,6,42.125,9,64.35,10,84.18,14,110.44,8,62.6,8,52.35,6,48.69,1,5.28,9,58.42,6,76.73
836,21,150.375,21,167.675,23,181.315,19,157.18,22,176.645,19,156.91,19,144.745,19,148.26,12,91.28,11,86.785,5,55.57,2,35.55
837,2,13,2,17.4,0,0,5,144.14,0,0,0,0,0,0,0,0,0,0,3,25.05,0,0,0,0
838,4,34.17,1,6.6,0,0,4,31.585,4,36.4,2,18.34,2,15.7,0,0,1,9.24,2,13.2,2,18.34,3,84.74
839,1,6.615,0,0,1,6.65,0,0,0,0,0,0,3,51.28,0,0,1,39.96,0,0,0,0,0,0
840,0,0,2,13.215,1,9.295,1,6.6,2,13.86,2,15.855,3,25.155,1,6.615,1,6.6,2,15.7,0,0,0,0
841,0,0,2,18.6,0,0,2,15.815,3,118,1,9.24,1,6.6,0,0,2,18.6,1,9.24,0,0,2,16.96
845,1,6.49,2,13,1,10.4,1,10.89,1,6.6,0,0,0,0,0,0,1,19.8,0,0,1,6.66,0,0
846,1,9.145,1,9.3,1,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,1,1.32,0,0,1,6.49,2,47.6,0,0,0,0,0,0,2,13.5,0,0,1,9.25,1,6.6,1,4.2
850,10,130.85,16,115.61,16,169.565,10,106.23,10,81.81,46,232.155,10,90.82,17,88.98,39,133.65,40,137.225,29,138.79,7,46.81
851,0,0,0,0,0,0,0,0,0,0,0,0,1,61.2,0,0,0,0,0,0,0,0,0,0
852,5,135.92,2,14.89,1,6.3,1,9.1,6,87.02,3,23.76,0,0,6,41.28,2,15.54,2,71.94,4,55.24,3,128.04
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19.8
860,0,0,0,0,1,6.6,5,33,0,0,0,0,0,0,1,9,3,25.08,0,0,0,0,0,0
861,3,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,5,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.16,0,0
870,18,228.255,21,138.494,31,191.945,14,97.105,34,258.675,19,138.4,23,433.59,17,229.3,26,224.855,14,155.31,13,102.92,19,331.48
871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,3,30.19,1,78.21,5,120.82,0,0,0,0,3,17.37,2,12.32,1,7.68,0,0,0,0,0,0,1,6.6
873,3,17.995,3,22.44,2,18.28,2,13.11,7,54.22,3,22.44,6,36.79,0,0,4,26.4,2,14.21,4,29.95,4,73.8
