Postcode,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
800,0,0,1,35.2,1,6.63,1,6.66,0,0
801,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,0,0
810,8,102.195,16,154.735,28,198.91,13,130.95,12,74.35
811,0,0,0,0,0,0,0,0,0,0
812,6,120.58,10,62.27,10,67.27,7,42.23,9,52.14
813,0,0,0,0,0,0,0,0,0,0
814,0,0,1,5.18,0,0,0,0,0,0
820,3,30.03,13,240.915,12,135.59,7,60.27,3,22.465
821,0,0,0,0,0,0,0,0,0,0
822,6,53.985,4,41.725,4,18.59,5,50.93,3,22.56
828,1,6.66,9,127.335,6,100.82,6,39.465,0,0
829,2,18.5,0,0,0,0,0,0,0,0
830,10,114.12,12,72.855,13,90.73,3,22.49,6,42.55
831,0,0,0,0,0,0,0,0,0,0
832,10,66.465,17,113.63,14,93.52,4,31.33,6,39.78
834,2,21.97,2,15.1,3,21.685,1,6.63,1,29.97
835,2,15.9,4,32.13,3,11.45,0,0,3,19.2
836,4,26.75,10,69.165,8,92.31,5,29.67,3,29.6
837,0,0,0,0,0,0,1,9.25,1,9.24
838,0,0,1,34.65,0,0,1,9.1,1,9.25
839,1,6.6,0,0,0,0,0,0,0,0
840,0,0,2,8.48,1,9.24,0,0,0,0
841,0,0,0,0,0,0,0,0,0,0
845,0,0,1,8.25,0,0,1,6.65,0,0
846,0,0,0,0,1,6.6,0,0,1,6.66
847,0,0,0,0,0,0,0,0,0,0
850,5,38.84,9,61.375,5,38.05,5,33.3,3,20.78
851,0,0,0,0,0,0,0,0,0,0
852,1,11.1,1,9.25,0,0,0,0,0,0
853,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,1,30,0,0,0,0
860,0,0,0,0,2,39.44,0,0,0,0
861,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0
870,4,94.97,10,117.78,10,68.36,7,44.995,9,60.99
871,0,0,0,0,0,0,0,0,0,0
872,0,0,5,157.72,8,110.53,4,17.04,0,0
873,0,0,1,6.63,0,0,0,0,1,6.66
874,0,0,0,0,0,0,1,6.29,0,0
875,0,0,3,20.24,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0,0,0
881,0,0,0,0,0,0,0,0,0,0
885,0,0,0,0,0,0,0,0,0,0
886,0,0,0,0,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0
1355,0,0,0,0,0,0,0,0,0,0
1435,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0
1485,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0
1495,0,0,0,0,0,0,0,0,0,0
1560,0,0,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0,0,0
1630,0,0,0,0,0,0,0,0,0,0
1640,0,0,0,0,0,0,0,0,0,0
1655,0,0,0,0,0,0,0,0,0,0
1658,0,0,0,0,0,0,0,0,0,0
1660,0,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,0,0,0,0
1685,0,0,0,0,0,0,0,0,1,4.8
1710,0,0,0,0,0,0,0,0,0,0
1715,0,0,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0,0,0
1741,0,0,0,0,0,0,0,0,0,0
1755,0,0,0,0,0,0,0,0,0,0
1765,0,0,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0
1805,0,0,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0,0,0
1835,0,0,0,0,0,0,0,0,0,0
1848,0,0,0,0,0,0,0,0,0,0
1860,0,0,0,0,0,0,0,0,0,0
1871,0,0,0,0,0,0,0,0,0,0
1875,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,1,64.8,0,0
2007,0,0,0,0,0,0,0,0,0,0
2008,1,4.895,2,14.12,0,0,2,7.75,0,0
2009,0,0,0,0,0,0,0,0,0,0
2010,3,15.76,2,12.69,4,37.37,2,28.8,2,8.88
2011,1,12.58,0,0,1,8,1,7.77,2,29.35
2015,0,0,7,310.58,5,333.62,4,118.76,3,16.44
2016,0,0,0,0,0,0,1,35.04,0,0
2017,0,0,0,0,0,0,1,6.63,0,0
2018,3,25.31,5,48.77,10,69.45,10,46.47,6,42.37
2019,3,25.16,8,156.3,9,67.19,15,80.57,3,18.81
2020,7,36.735,7,70.92,4,41.07,14,65.09,2,6.66
2021,1,22.2,3,19.505,6,48.95,5,109.845,1,2.4
2022,4,26.14,2,19.55,7,42.23,4,24.33,4,25.5
2023,2,19.29,6,54.08,4,24.765,1,6.66,2,26.73
2024,2,15.39,4,33.75,5,43.86,8,53.72,2,13.32
2025,1,7.4,2,17.89,3,25.14,0,0,0,0
2026,10,80.22,12,81.065,9,58.69,15,122.62,3,23.2
2027,1,3.285,0,0,1,8.14,0,0,0,0
2028,0,0,1,14.8,2,21.25,3,69.36,0,0
2029,1,6.66,5,35.76,4,43.29,4,31.93,1,8.51
2030,7,74.37,1,6.32,8,72.465,3,32.88,5,30.34
2031,16,124.715,12,98.82,9,72.15,7,65.745,5,36.2
2032,3,22.2,6,40.24,9,67.19,3,22.2,2,13.29
2033,4,56.49,5,39.48,2,13.2,2,19.47,4,35.89
2034,5,37,9,74.245,8,65.72,13,104.52,2,11.44
2035,14,129.09,31,236.31,21,173.47,20,165.59,4,33.67
2036,24,152.25,25,187.19,35,229.99,28,177.76,12,96.69
2037,3,21.22,5,42.54,6,45.61,3,25.39,6,27.18
2038,2,12.72,8,41.72,2,9.99,1,5.25,4,19.55
2039,1,6.6,5,29.87,4,20.475,2,16.65,1,5.92
2040,4,26.25,10,61.415,12,75.445,12,61.23,16,69.945
2041,9,69.017,6,34.48,7,41.35,4,13.69,7,48.6
2042,4,22.41,5,25.065,5,22.185,5,24.85,4,23.98
2043,0,0,3,16.53,2,9.57,2,9.915,1,6.66
2044,5,31.31,5,36.26,1,6.66,4,118.825,9,40.45
2045,6,42.98,5,69.885,5,30.67,5,39.19,2,19.24
2046,9,62.29,20,158.71,16,108.5,12,85.67,4,31.82
2047,2,13.32,5,41.86,7,56.835,2,13.23,2,10.16
2048,4,25.275,3,16.57,5,33.64,2,19.04,2,15.54
2049,5,34.2,6,33.75,7,41.02,2,13.97,0,0
2050,1,6.29,2,11.1,1,3.6,1,6.66,0,0
2055,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,1,32.56,0,0
2059,0,0,0,0,0,0,0,0,0,0
2060,3,15.48,3,16.135,2,9.51,2,9.98,2,10.895
2061,0,0,0,0,0,0,0,0,0,0
2062,2,17.02,1,6.29,6,32.04,1,6.57,0,0
2063,8,64.3,5,43.475,12,120.87,7,56.95,4,28.645
2064,1,7.7,3,48.34,5,67.44,4,32.57,1,9.62
2065,6,54.03,12,89.23,15,162.66,10,103.53,6,39.065
2066,12,108.19,16,145.76,19,195.145,15,116.96,14,146.08
2067,6,39.59,6,42.55,10,68.2,9,65.97,4,38.13
