Postcode,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,1,85.26,0,0,0,0,1,99.18,2,91.18,1,6.27,0,0,0,0,0,0
801,0,0,0,0,0,0,0,0,0,0,0,0,1,24.84,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.565,0,0,0,0,0,0
804,0,0,0,0,1,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,16,76.167,10,41.156,27,128.935,20,96.561,36,245.724,44,324.435,48,293.052,53,292.449,25,149.037,54,494.34,44,325.44,17,273.38
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,8,35.368,8,36.538,6,27.586,6,122.65,18,86.976,19,132.173,25,134.384,24,137.998,20,139.075,24,231.698,24,157.105,13,92.706
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,6,106.48,3,26.02,6,122.268,10,47.211,13,315.14,14,251.555,8,47.064,9,46.885,6,37.976,23,282.423,18,115.091,10,99.27
821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,4,23.58,3,17.85,10,136.881,5,26.92,8,169.43,12,105.865,8,273.03,14,114.516,7,123.41,9,137.93,11,78.226,11,297.668
828,0,0,0,0,1,5.94,8,82.38,2,10.476,3,18.67,0,0,6,69.61,3,62.87,6,37.33,2,60.82,1,99.9
829,0,0,0,0,0,0,0,0,1,99.76,0,0,0,0,0,0,0,0,1,1.59,0,0,1,1.5
830,7,32.11,5,19.988,4,18.41,8,39.415,16,76.144,35,205.267,19,100.329,14,94.458,20,106.957,22,113.955,13,92.905,17,206.761
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,14,64.216,11,141.578,18,83.66,8,36.428,35,177.82,33,182.019,43,246.573,36,208.261,28,167.24,32,172.339,45,269.379,17,197.005
834,2,12.06,2,10.791,3,16.805,0,0,1,5.98,0,0,4,25.509,5,35.996,5,41.515,2,17.915,5,32.98,3,20.52
835,3,13.77,1,51.2,1,4.48,0,0,8,43.64,4,24.756,6,31.33,4,22.68,7,41.345,5,38.388,5,35.7,6,38.071
836,5,25.713,2,10.68,7,37.731,9,49.831,6,38.83,10,61.046,10,77.34,8,44.569,14,77.735,12,81.49,16,122.821,6,102.94
837,0,0,0,0,0,0,0,0,1,9.18,0,0,1,6,1,9.145,0,0,0,0,2,12.96,0,0
838,0,0,0,0,0,0,3,17.376,1,4.68,3,29.816,0,0,1,6.38,1,0.77,0,0,2,15.61,1,6.6
839,0,0,0,0,0,0,1,99.76,0,0,0,0,0,0,0,0,0,0,1,1.855,0,0,0,0
840,0,0,4,17.73,1,2.16,0,0,2,15.12,0,0,0,0,0,0,0,0,1,6.4,3,20.24,1,1.56
841,0,0,1,4.578,0,0,0,0,1,6.09,2,14.685,2,4.98,2,8.125,1,6.6,0,0,0,0,1,6.867
845,0,0,0,0,0,0,0,0,0,0,1,7.8,0,0,1,6.6,0,0,0,0,1,4.77,0,0
846,0,0,0,0,0,0,0,0,1,6.09,0,0,0,0,2,11.07,1,9,0,0,1,6.48,0,0
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.12,1,5.94
850,1,6.095,5,86.075,3,15.9,4,21.093,1,4.32,5,64.76,9,45.24,5,96.685,1,4.56,1,6.3,2,17.55,3,98.56
851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,0,0,0,0,1,4.24,2,11.88,1,40.56,1,11.6,1,7.695,1,8.37,0,0,1,33.6,0,0,1,6.48
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,2,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46.44,4,41.84,0,0,2,12.96
870,9,40.188,13,144.128,13,65.226,23,151.239,23,128.817,22,90.112,29,169.16,27,207.005,11,61.52,20,228.831,20,116.865,21,130.783
871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,0,0,0,1,6.24,0,0,1,2.616,1,62.95,0,0,1,5.8,0,0,4,127.41,2,17.48,7,80.88
873,1,4.578,2,5.738,1,5.886,1,6.09,2,5.81,1,6.48,2,13.44,3,17.82,1,5.67,4,15.99,1,8.1,0,0
874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.4,0,0,0,0,0,0,0,0
