Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021,Installation_Total,Output_Total
0,0,0,2,2.58,0,0,1,0.98,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.46
200,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
800,0,0,0,0,0,0,0,0,1,0.16,0,0,2,19.2,4,15.38,0,0,0,0,2,5.26,2,58.005,12,48.33,6,41.045,4,133.49,6,208.07,5,281.89,11,527.74,40,682.48,11,526.04,3,48.49,109,2595.58
801,0,0,0,0,0,0,2,3.44,0,0,0,0,0,0,0,0,0,0,0,0,1,2.02,0,0,0,0,0,0,1,6,1,66.708,1,24.84,1,31.86,0,0,1,99.99,0,0,8,234.858
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.12,0,0,1,5.565,0,0,0,0,0,0,0,0,2,11.685
804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.17,1,6.02,3,14.08,0,0,2,10.595,1,4.77,0,0,1,4.59,2,21.725,0,0,1,9.36,0,0,15,78.31
810,0,0,0,0,0,0,0,0,1,0.115,0,0,0,0,5,8.25,35,47.31,127,190.658,46,166.39,62,242.19,159,770.127,171,951.66,225,1105.465,366,2193.606,394,2740.676,400,2876.639,679,5078.405,547,4186.715,77,661.14,3294,21219.346
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,28,48.69,62,105.399,31,91.475,35,139.51,103,497.885,71,298.522,122,622.83,126,733.806,195,1334.257,246,1757.254,391,2732.18,358,2405.727,42,344.49,1811,11113.015
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.064,0,0,0,0,2,9.585,1,59.8,1,4.5,1,3,0,0,0,0,0,0,1,6.6,0,0,7,85.549
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.16,0,0,1,3.9,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,5.18,4,18.24
820,0,0,0,0,0,0,0,0,1,0.24,0,0,0,0,0,0,2,2.34,14,25.95,14,40.39,20,89.365,43,244.26,46,463.975,54,886.275,90,1099.667,126,1497.383,157,1773.789,243,2092.685,249,2736.415,38,489.27,1097,11442.004
821,0,0,0,0,0,0,0,0,0,0,1,9.6,0,0,1,7.26,0,0,0,0,0,0,0,0,0,0,1,9.88,0,0,2,104.313,0,0,1,15.95,1,9.3,0,0,0,0,7,156.303
822,0,0,0,0,3,18.9,1,4.8,0,0,1,10.4,3,18.9,7,21.6,12,82.825,21,114.891,19,167.486,17,119.024,21,133.5,35,207.695,45,493.345,82,1064.033,102,1505.306,134,1478.312,178,1981.337,177,1630.03,22,187.79,880,9240.174
828,0,0,0,0,0,0,1,4.8,0,0,0,0,0,0,0,0,1,1.02,0,0,1,9.88,1,15.12,6,72.79,7,196.61,9,181.86,25,275.81,32,447.996,28,498.995,54,640.375,54,882.705,22,274.28,241,3502.241
829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,13.95,1,4.5,8,201.59,3,102.85,4,128.545,7,265.79,8,154.155,2,18.5,36,890.88
830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14.19,26,40.3,61,99.003,53,132.715,52,193.025,101,411.68,96,419.26,91,796.81,166,858.309,180,1106.699,288,2093.058,444,3226.205,333,2585.125,44,342.745,1942,12319.124
831,0,0,0,0,0,0,1,5.12,1,6.4,0,0,0,0,0,0,0,0,2,3.15,1,3.24,0,0,1,3.92,0,0,1,4.5,1,6.095,0,0,1,6.555,0,0,0,0,0,0,9,38.98
832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.97,9,12.2,35,51.029,32,83.61,38,140.27,90,352.355,69,302.165,74,323.36,252,1355.111,320,1946.518,406,2811.003,514,3356.448,363,2404.37,51,344.725,2255,13486.134
834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21.95,13,52.4,16,74.045,15,100.485,16,92.015,32,220.071,34,262.061,47,363.885,48,421.615,9,95.355,234,1703.882
835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.57,6,9.88,26,62.695,17,60.95,22,82.985,34,163.935,24,117.315,27,235.681,29,136.185,50,345.36,59,424.417,86,707.075,99,830.46,12,78.68,493,3265.188
836,0,0,0,0,0,0,0,0,1,4.8,0,0,0,0,5,6.19,16,25.392,33,59.355,21,74.88,48,213.845,67,372.208,87,456.785,48,272.295,82,532.707,105,730.726,178,1378.908,255,2120.195,193,1552.29,30,247.495,1169,8048.071
837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.04,0,0,1,1.5,1,3,6,29,5,24.96,0,0,9,92.27,5,37.285,9,68.186,11,116.69,12,199.59,2,18.49,62,593.011
838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2,2,2.04,6,10.375,2,4.44,3,14.25,5,21.355,9,45.095,5,79.86,7,45.005,12,81.232,13,105.635,27,211.6,25,268.315,3,53,120,945.402
839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.505,2,101.615,4,36.74,8,177.16,6,104.505,1,6.6,22,431.125
840,0,0,0,0,0,0,0,0,0,0,0,0,1,2.56,0,0,0,0,2,2.54,0,0,2,9.63,6,30.94,6,28.505,5,27.05,19,98.14,12,63.21,12,87.04,29,209.775,15,112.895,3,17.72,112,690.005
841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.14,3,7.035,0,0,0,0,1,6,4,12.24,6,33.44,10,51.925,10,247.795,18,148.95,14,213.055,0,0,68,724.58
845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.62,2,2.93,2,3.81,1,4.14,3,48.361,8,35.56,9,46.855,8,42.845,8,166.025,3,19.17,9,108.19,5,27.89,8,73.84,2,14.9,72,599.136
846,0,0,0,0,0,0,0,0,0,0,1,4.8,1,2.56,0,0,1,6.3,4,8.86,1,2.25,0,0,2,8,1,3,6,25.4,9,67.52,5,32.64,3,54.43,6,54.89,3,21.085,2,13.26,45,304.995
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.84,2,89.5,2,39.485,2,9.01,0,0,2,12.06,2,12.96,1,6.49,9,88.96,0,0,21,265.305
850,0,0,0,0,1,2.56,0,0,2,19.6,1,10.5,0,0,1,6.6,9,8.46,15,23.875,11,108.615,1,4.32,31,164.07,63,558.225,103,1110.355,74,469.525,40,467.138,66,575.081,106,1163.55,250,1472.495,27,192.345,801,6357.314
851,0,0,0,0,0,0,0,0,0,0,1,6.56,1,1.53,1,5.8,0,0,5,12.365,5,11.495,2,14.82,5,25.5,7,30.34,8,59.035,9,57.29,0,0,1,39.44,0,0,1,61.2,0,0,46,325.375
852,1,3.5,0,0,0,0,0,0,5,25.28,3,21.33,4,34.42,9,24.43,3,31.5,4,53.5,1,1.575,5,32.63,8,56.97,5,53.5,1,5,14,129.89,9,124.425,16,394.89,27,297.5,35,589.03,2,20.35,152,1899.72
